,GPPractice,depression,alzheimers,blood pressure,hypertension,diabeties,cardiovascular disease,insomnia,addiction,social anxiety,NumberOfPaidItems,loneliness,Date,HBT,Postcode,pcstrip
58,11096,669,12,467,469,100,383,60,0,5,8048,1693,202201,S08000030,DD2 2HZ,DD2 2HZ
59,11096,669,12,467,469,100,383,60,0,5,8048,1693,202201,S08000030,DD2 2HZ,DD2 2HZ
60,11128,1012,26,843,846,178,606,48,1,4,13163,2717,202201,S08000030,DD4 6EL,DD4 6EL
61,11128,1012,26,843,846,178,606,48,1,4,13163,2717,202201,S08000030,DD4 6EL,DD4 6EL
62,11128,1012,26,843,846,178,606,48,1,4,13163,2717,202201,S08000030,DD4 6EL,DD4 6EL
63,11166,877,23,739,744,161,518,67,0,14,11084,2390,202201,S08000030,DD3 8DB,DD3 8DB
64,11166,877,23,739,744,161,518,67,0,14,11084,2390,202201,S08000030,DD3 8DB,DD3 8DB
65,11166,877,23,739,744,161,518,67,0,14,11084,2390,202201,S08000030,DD3 8DB,DD3 8DB
66,11171,1026,35,891,895,131,692,76,0,17,13787,2855,202201,S08000030,DD2 4AD,DD2 4AD
67,11171,1026,35,891,895,131,692,76,0,17,13787,2855,202201,S08000030,DD2 4AD,DD2 4AD
68,11171,1026,35,891,895,131,692,76,0,17,13787,2855,202201,S08000030,DD2 4AD,DD2 4AD
69,11289,1068,13,708,710,142,451,65,0,20,11417,2449,202201,S08000030,DD4 6DG,DD4 6DG
70,11289,1068,13,708,710,142,451,65,0,20,11417,2449,202201,S08000030,DD4 6DG,DD4 6DG
71,11289,1068,13,708,710,142,451,65,0,20,11417,2449,202201,S08000030,DD4 6DG,DD4 6DG
72,11306,719,36,811,813,132,674,124,0,16,12219,2498,202201,S08000030,DD5 1EP,DD5 1EP
73,11306,719,36,811,813,132,674,124,0,16,12219,2498,202201,S08000030,DD5 1EP,DD5 1EP
74,11306,719,36,811,813,132,674,124,0,16,12219,2498,202201,S08000030,DD5 1EP,DD5 1EP
75,11363,1035,17,655,658,118,427,104,1,35,10385,2360,202201,S08000030,DD1 5LA,DD1 5LA
76,11363,1035,17,655,658,118,427,104,1,35,10385,2360,202201,S08000030,DD1 5LA,DD1 5LA
77,11363,1035,17,655,658,118,427,104,1,35,10385,2360,202201,S08000030,DD1 5LA,DD1 5LA
78,11382,1237,27,774,778,154,604,86,0,11,13945,2886,202201,S08000030,DD4 6RB,DD4 6RB
79,11382,1237,27,774,778,154,604,86,0,11,13945,2886,202201,S08000030,DD4 6RB,DD4 6RB
80,11382,1237,27,774,778,154,604,86,0,11,13945,2886,202201,S08000030,DD4 6RB,DD4 6RB
81,11414,506,6,335,338,64,263,26,0,11,5265,1203,202201,S08000030,DD1 4JH,DD1 4JH
82,11414,506,6,335,338,64,263,26,0,11,5265,1203,202201,S08000030,DD1 4JH,DD1 4JH
83,11486,852,15,679,679,160,545,59,5,8,10177,2315,202201,S08000030,DD4 6QY,DD4 6QY
84,11486,852,15,679,679,160,545,59,5,8,10177,2315,202201,S08000030,DD4 6QY,DD4 6QY
85,11486,852,15,679,679,160,545,59,5,8,10177,2315,202201,S08000030,DD4 6QY,DD4 6QY
86,11645,1093,23,825,829,206,775,80,5,5,14124,3011,202201,S08000030,DD4 6QY,DD4 6QY
87,11645,1093,23,825,829,206,775,80,5,5,14124,3011,202201,S08000030,DD4 6QY,DD4 6QY
88,11645,1093,23,825,829,206,775,80,5,5,14124,3011,202201,S08000030,DD4 6QY,DD4 6QY
89,11650,716,20,603,605,102,493,72,0,10,9166,2008,202201,S08000030,DD4 6SW,DD4 6SW
90,11650,716,20,603,605,102,493,72,0,10,9166,2008,202201,S08000030,DD4 6SW,DD4 6SW
91,11650,716,20,603,605,102,493,72,0,10,9166,2008,202201,S08000030,DD4 6SW,DD4 6SW
92,11823,861,21,733,734,128,533,38,0,5,10997,2315,202201,S08000030,DD3 8NE,DD3 8NE
93,11823,861,21,733,734,128,533,38,0,5,10997,2315,202201,S08000030,DD3 8NE,DD3 8NE
94,11823,861,21,733,734,128,533,38,0,5,10997,2315,202201,S08000030,DD3 8NE,DD3 8NE
95,11861,825,20,597,600,100,440,105,0,17,10937,2090,202201,S08000030,DD3 6NF,DD3 6NF
96,11861,825,20,597,600,100,440,105,0,17,10937,2090,202201,S08000030,DD3 6NF,DD3 6NF
97,11861,825,20,597,600,100,440,105,0,17,10937,2090,202201,S08000030,DD3 6NF,DD3 6NF
98,11931,782,11,701,705,139,513,78,2,3,10303,2230,202201,S08000030,DD4 7AA,DD4 7AA
99,11931,782,11,701,705,139,513,78,2,3,10303,2230,202201,S08000030,DD4 7AA,DD4 7AA
100,11931,782,11,701,705,139,513,78,2,3,10303,2230,202201,S08000030,DD4 7AA,DD4 7AA
101,12210,403,7,274,277,58,240,42,0,8,5110,1027,202201,S08000030,DD2 2HZ,DD2 2HZ
102,12210,403,7,274,277,58,240,42,0,8,5110,1027,202201,S08000030,DD2 2HZ,DD2 2HZ
103,12210,403,7,274,277,58,240,42,0,8,5110,1027,202201,S08000030,DD2 2HZ,DD2 2HZ
104,12281,727,15,698,698,110,463,54,0,16,9132,2067,202201,S08000030,DD1 1PB,DD1 1PB
105,12281,727,15,698,698,110,463,54,0,16,9132,2067,202201,S08000030,DD1 1PB,DD1 1PB
106,12281,727,15,698,698,110,463,54,0,16,9132,2067,202201,S08000030,DD1 1PB,DD1 1PB
107,12831,586,5,337,339,75,291,41,1,11,6431,1338,202201,S08000030,DD2 3BR,DD2 3BR
108,12831,586,5,337,339,75,291,41,1,11,6431,1338,202201,S08000030,DD2 3BR,DD2 3BR
109,12831,586,5,337,339,75,291,41,1,11,6431,1338,202201,S08000030,DD2 3BR,DD2 3BR
110,12901,500,13,266,268,49,203,39,1,8,5095,1073,202201,S08000030,DD4 0HJ,DD4 0HJ
111,13049,371,9,402,404,55,264,30,0,11,5504,1133,202201,S08000030,PH8 0AD,PH8 0AD
112,13049,371,9,402,404,55,264,30,0,11,5504,1133,202201,S08000030,PH8 0AD,PH8 0AD
113,13049,371,9,402,404,55,264,30,0,11,5504,1133,202201,S08000030,PH8 0AD,PH8 0AD
114,13091,263,4,291,292,48,197,5,0,4,3589,809,202201,S08000030,DD9 7TA,DD9 7TA
115,13091,263,4,291,292,48,197,5,0,4,3589,809,202201,S08000030,DD9 7TA,DD9 7TA
116,13091,263,4,291,292,48,197,5,0,4,3589,809,202201,S08000030,DD9 7TA,DD9 7TA
117,13142,405,6,521,524,73,406,23,1,9,5366,1438,202201,S08000030,PH2 7TD,PH2 7TD
118,13142,405,6,521,524,73,406,23,1,9,5366,1438,202201,S08000030,PH2 7TD,PH2 7TD
119,13142,405,6,521,524,73,406,23,1,9,5366,1438,202201,S08000030,PH2 7TD,PH2 7TD
120,13195,458,20,501,503,104,367,31,2,4,6381,1485,202201,S08000030,DD8 2AE,DD8 2AE
121,13195,458,20,501,503,104,367,31,2,4,6381,1485,202201,S08000030,DD8 2AE,DD8 2AE
122,13195,458,20,501,503,104,367,31,2,4,6381,1485,202201,S08000030,DD8 2AE,DD8 2AE
123,13231,1009,27,1225,1231,229,833,34,0,21,15545,3363,202201,S08000030,DD8 2HA,DD8 2HA
124,13231,1009,27,1225,1231,229,833,34,0,21,15545,3363,202201,S08000030,DD8 2HA,DD8 2HA
125,13231,1009,27,1225,1231,229,833,34,0,21,15545,3363,202201,S08000030,DD8 2HA,DD8 2HA
126,13284,818,29,877,885,114,568,66,0,10,11431,2480,202201,S08000030,DD8 2AS,DD8 2AS
127,13284,818,29,877,885,114,568,66,0,10,11431,2480,202201,S08000030,DD8 2AS,DD8 2AS
128,13284,818,29,877,885,114,568,66,0,10,11431,2480,202201,S08000030,DD8 2AS,DD8 2AS
129,13335,582,15,814,820,144,470,56,0,10,8070,2087,202201,S08000030,DD11 4TX,DD11 4TX
130,13369,130,3,84,84,16,65,13,0,5,1670,311,202201,S08000030,DD2 5AD,DD2 5AD
131,13369,130,3,84,84,16,65,13,0,5,1670,311,202201,S08000030,DD2 5AD,DD2 5AD
132,13369,130,3,84,84,16,65,13,0,5,1670,311,202201,S08000030,DD2 5AD,DD2 5AD
133,13481,657,40,874,883,124,572,78,0,10,11017,2354,202201,S08000030,KY13 8FP,KY13 8FP
134,13481,657,40,874,883,124,572,78,0,10,11017,2354,202201,S08000030,KY13 8FP,KY13 8FP
135,13481,657,40,874,883,124,572,78,0,10,11017,2354,202201,S08000030,KY13 8FP,KY13 8FP
136,13496,276,11,292,293,44,163,43,0,18,4067,830,202201,S08000030,KY13 8FP,KY13 8FP
137,13496,276,11,292,293,44,163,43,0,18,4067,830,202201,S08000030,KY13 8FP,KY13 8FP
138,13496,276,11,292,293,44,163,43,0,18,4067,830,202201,S08000030,KY13 8FP,KY13 8FP
139,13532,666,12,852,856,155,525,43,0,33,11115,2257,202201,S08000030,DD8 4ES,DD8 4ES
140,13532,666,12,852,856,155,525,43,0,33,11115,2257,202201,S08000030,DD8 4ES,DD8 4ES
141,13532,666,12,852,856,155,525,43,0,33,11115,2257,202201,S08000030,DD8 4ES,DD8 4ES
142,13571,894,36,1042,1045,132,694,69,0,10,14170,2870,202201,S08000030,DD5 4LX,DD5 4LX
143,13571,894,36,1042,1045,132,694,69,0,10,14170,2870,202201,S08000030,DD5 4LX,DD5 4LX
144,13571,894,36,1042,1045,132,694,69,0,10,14170,2870,202201,S08000030,DD5 4LX,DD5 4LX
145,13621,834,6,767,774,161,583,53,0,4,10620,2411,202201,S08000030,DD10 8TY,DD10 8TY
146,13621,834,6,767,774,161,583,53,0,4,10620,2411,202201,S08000030,DD10 8TY,DD10 8TY
147,13621,834,6,767,774,161,583,53,0,4,10620,2411,202201,S08000030,DD10 8TY,DD10 8TY
148,13660,476,9,410,412,93,309,4,1,12,6006,1304,202201,S08000030,DD10 8TY,DD10 8TY
149,13660,476,9,410,412,93,309,4,1,12,6006,1304,202201,S08000030,DD10 8TY,DD10 8TY
150,13660,476,9,410,412,93,309,4,1,12,6006,1304,202201,S08000030,DD10 8TY,DD10 8TY
151,13706,499,6,560,563,101,347,25,0,11,7334,1541,202201,S08000030,DD10 8TY,DD10 8TY
152,13706,499,6,560,563,101,347,25,0,11,7334,1541,202201,S08000030,DD10 8TY,DD10 8TY
153,13706,499,6,560,563,101,347,25,0,11,7334,1541,202201,S08000030,DD10 8TY,DD10 8TY
154,13848,551,12,616,619,101,416,55,1,7,8354,1755,202201,S08000030,PH2 0JB,PH2 0JB
155,13848,551,12,616,619,101,416,55,1,7,8354,1755,202201,S08000030,PH2 0JB,PH2 0JB
156,13848,551,12,616,619,101,416,55,1,7,8354,1755,202201,S08000030,PH2 0JB,PH2 0JB
157,13891,740,36,734,736,141,576,55,0,8,10392,2284,202201,S08000030,PH1 1PP,PH1 1PP
158,13891,740,36,734,736,141,576,55,0,8,10392,2284,202201,S08000030,PH1 1PP,PH1 1PP
159,13891,740,36,734,736,141,576,55,0,8,10392,2284,202201,S08000030,PH1 1PP,PH1 1PP
160,13941,849,25,879,885,150,594,25,0,6,11713,2528,202201,S08000030,PH2 0JB,PH2 0JB
161,13941,849,25,879,885,150,594,25,0,6,11713,2528,202201,S08000030,PH2 0JB,PH2 0JB
