,postcode,loneliness_zscore,ranked,deciles
234,FK11BA,-2.0142551859273747,160.0,2
235,FK125BD,0.2747827547036139,446.0,6
236,FK136AG,-0.6307508078397444,319.0,4
237,FK13EZ,-2.3719991343879783,121.0,1
238,FK147AA,-2.1648162760393945,140.0,1
239,FK14PP,1.6406042402408465,585.0,7
240,FK159AL,2.141076557937403,607.0,8
241,FK15SU,-1.5994082006998733,206.0,2
242,FK166DU,1.1025967656708295,534.0,7
243,FK178LX,2.4953848595221166,628.0,8
244,FK20XF,-0.2770759851393046,374.0,5
245,FK218TQ,0.3527779333218186,462.0,6
246,FK27AZ,-0.8529325681681117,294.0,3
247,FK27ES,-2.0553799963847577,151.0,2
248,FK27HR,-0.7931968117033433,303.0,4
249,FK27TA,-4.393141127740083,14.0,0
250,FK38AN,0.7352553195861711,496.0,6
251,FK41ED,-0.02834093594160403,406.0,5
252,FK53BB,0.043031263141117326,421.0,5
253,FK54HT,-2.5824259891347685,105.0,1
254,FK66DB,0.037355775069584374,419.0,5
255,FK66GD,-1.0667249126746547,263.0,3
256,FK70HW,1.3346531289760546,558.0,7
257,FK77JD,0.5675078152695502,481.0,6
258,FK78DW,0.3740663071192539,464.0,6
259,FK81PH,-2.2108651257173055,137.0,1
260,FK82AU,0.5263733599873048,477.0,6
261,FK82QD,1.3490892392561706,560.0,7
262,FK83DZ,2.88725706963148,645.0,8
263,FK83NB,1.5880249866602398,582.0,7
264,FK94EU,6.096129073902037,715.0,9
265,FK94NJ,-3.6850319518295405,33.0,0
266,FK94SW,-6.339915798062436,5.0,0
267,G115LL,2.301920668146204,619.0,8
268,G115NG,-0.1449487903117172,385.0,5
269,G115PE,-2.9323581887525245,82.0,1
270,G117AD,-1.8203715175997883,187.0,2
271,G117SY,-0.919731276020153,285.0,3
272,G128ED,-0.11497030485154236,392.0,5
273,G128ND,-0.5248928148535308,337.0,4
274,G128SP,-1.426592947303384,224.0,3
275,G129JE,2.0471208391350717,603.0,8
276,G129LD,0.0021368388496573187,415.0,5
277,G129PN,-0.14241200081684902,386.0,5
278,G131JE,-3.1486963236356216,66.0,0
279,G132SW,-3.0903065164683925,70.0,0
280,G132UP,-0.32302012505551336,368.0,4
281,G134PU,1.566266569654323,577.0,7
282,G140EA,1.244989407479822,552.0,7
283,G140NT,-4.147389462142491,17.0,0
284,G140XT,-1.9382414728595667,168.0,2
285,G149DR,0.014188582342976375,416.0,5
286,G149PS,-0.9306789166079215,281.0,3
287,G149SS,-1.5595910564197615,210.0,2
288,G149UT,-0.626889366737449,320.0,4
289,G149UU,8.008221068236729,731.0,9
290,G149XL,-1.360321112607129,229.0,3
291,G156EG,-3.546745953777171,42.0,0
292,G157TS,-2.1550896770936925,142.0,1
293,G206HS,-3.2099920808675853,61.0,0
294,G207ER,-0.4075010933618548,352.0,4
295,G208FB,-3.296837546993189,56.0,0
296,G211TR,-3.040102113928324,72.0,0
297,G213RW,-3.7233329414410665,31.0,0
298,G214AH,-2.3721354611607874,120.0,1
299,G225AP,-2.2070852562293197,138.0,1
300,G225SS,-3.891347224062683,26.0,0
301,G226BD,-0.40393694266744423,353.0,4
302,G227JL,-3.2508492190888574,58.0,0
303,G311QS,0.11830112886006527,428.0,5
304,G312ES,-3.115916669340662,68.0,0
305,G312XE,0.22810516492929514,443.0,6
306,G313BP,1.0674155815069433,529.0,7
307,G314UW,-2.1411666045170192,144.0,1
308,G315BA,-2.663864434656474,97.0,1
309,G315RA,-0.5986372526794072,325.0,4
310,G326JP,-0.8016466478876342,300.0,4
311,G326NB,-1.850625764185522,182.0,2
312,G327JZ,-2.5259163837949687,107.0,1
313,G328UH,-3.9479399109769555,23.0,0
314,G331EY,-3.319966211292507,53.0,0
315,G333AL,-5.510309261199751,7.0,0
316,G333TU,-2.6422659618475555,101.0,1
317,G336EY,-0.9532501874505512,278.0,3
318,G336HA,-2.1927215668460294,139.0,1
319,G349HQ,-3.934895511765369,25.0,0
320,G37UA,-0.6023538334857138,324.0,4
321,G38ND,-2.6498304555631003,99.0,1
322,G401HA,-4.815677709158944,12.0,0
323,G402DA,-0.5076367764053675,339.0,4
324,G403LJ,1.480052301821257,567.0,7
325,G40UP,-7.513417169835724,2.0,0
326,G411HU,-3.610706425982789,36.0,0
327,G411NX,2.2654813243560077,617.0,8
328,G413PT,-1.7446798538232784,191.0,2
329,G413RG,-3.445635882288342,47.0,0
330,G413UJ,-0.9264111701786216,282.0,3
331,G413YA,-0.12940935794897043,389.0,5
332,G413YT,-2.010637223922081,162.0,2
333,G415RU,0.5672101427976555,480.0,6
334,G420EH,-4.2726550276934985,15.0,0
335,G427AF,-3.66250336520094,35.0,0
336,G427DR,-2.4631875732624584,112.0,1
337,G428QD,-0.5626924284072246,329.0,4
338,G429JT,-0.004808116517007466,412.0,5
339,G429LQ,-2.4160543158282413,114.0,1
340,G431RR,-0.4555125325308682,343.0,4
341,G443DH,-2.409963828133234,115.0,1
342,G444JE,-1.1312888135147445,252.0,3
343,G445DQ,-1.2036456398389692,245.0,3
344,G445JT,-3.0476871346414036,71.0,0
345,G459AW,-4.140492132909774,18.0,0
346,G468DH,0.9063356152382407,521.0,7
347,G468NY,-3.0343207365059635,73.0,0
348,G49BL,-0.3473421998391959,363.0,4
349,G511AT,-1.0642736422881105,264.0,3
350,G511HS,-0.05137721586768823,402.0,5
351,G511RN,1.2478154631840983,553.0,7
352,G511SL,-2.4018263879524255,116.0,1
353,G514BJ,-3.508429629053275,44.0,0
354,G522AZ,-1.3118648284746608,237.0,3
355,G523QN,-3.4703410042878673,45.0,0
356,G523SS,-1.6189043204010423,202.0,2
357,G535QD,-1.6581300238403873,199.0,2
358,G536EQ,-3.220377196303297,59.0,0
359,G537FY,-5.140273557464744,9.0,0
360,G59AB,-2.3160317760752904,125.0,1
361,G59RP,-2.2744391775390516,133.0,1
362,G605JG,-0.7453186450184599,306.0,4
363,G612DN,2.6689023660261424,638.0,8
364,G612SY,-0.04979865372441705,403.0,5
365,G613RD,1.136614171026181,542.0,7
366,G626BT,-1.5445303405104682,211.0,2
367,G628BT,-1.0834606385729082,258.0,3
368,G630DP,-0.3305824832452009,366.0,4
369,G630TS,-1.540356390286182,212.0,2
370,G639EG,-0.1576800675319684,383.0,5
371,G639NA,-1.3792351395953069,227.0,3
372,G641NF,-2.7297888089917635,91.0,1
373,G641PJ,-0.8901963204445351,287.0,3
374,G642AA,4.592406695326459,692.0,9
375,G659JE,-0.42368731736342713,349.0,4
376,G661DH,-3.461708041650762,46.0,0
377,G661DN,-0.5455278798187705,334.0,4
378,G661JB,-1.3158844270778418,236.0,3
379,G661NH,-0.7488865883634583,305.0,4
380,G663BF,-0.9874057664644313,274.0,3
381,G667JJ,-0.7791853797741547,304.0,4
382,G671BJ,-2.7937490976682504,90.0,1
383,G671BP,-0.11118854524526661,393.0,5
384,G672ES,-2.852878188831208,86.0,1
385,G673BE,1.2787726528470618,556.0,7
386,G674DN,-0.7055866187925334,312.0,4
387,G697AD,-1.1163085062123335,254.0,3
388,G699DW,-0.35567335222206264,360.0,4
389,G715RR,-0.21211485945646977,379.0,5
390,G715SU,0.2540851145336178,445.0,6
391,G717NE,-1.4539731064616779,221.0,2
392,G718ET,-0.30432518571098094,369.0,4
393,G720BS,-0.4430872591688041,345.0,4
394,G727EX,3.2879242620175013,658.0,8
395,G728AT,-5.05366691429055,11.0,0
396,G728HA,-2.2226923873790607,136.0,1
397,G728RW,-0.09731069255649227,396.0,5
398,G732LD,-6.575594148873172,4.0,0
399,G732PQ,-0.8151019081551987,299.0,4
400,G741AD,-0.7942091689491293,302.0,4
401,G743BE,-0.39054736267859325,355.0,4
402,G750RT,-1.8055021397690607,188.0,2
403,G767BU,3.463839741643095,664.0,9
404,G767BX,-1.4672745011699733,217.0,2
405,G767HN,1.0024201315088983,527.0,7
406,G767NW,0.00038413259883024464,414.0,5
407,G775BQ,-1.0696507677617089,261.0,3
408,G775LU,-3.9909996479203764,22.0,0
409,G776GR,0.48291713908935896,473.0,6
410,G781SW,-3.00861522993343,78.0,1
411,G783HJ,0.5861773249824784,485.0,6
412,G811BS,-2.0464994246378705,152.5,2
413,G812TQ,-2.0464994246378705,152.5,2
414,G821PW,-0.3445468734293576,364.0,4
415,G830NB,1.8480001652482663,597.0,8
416,G830UA,-2.6590798821326396,98.0,1
417,G830UE,0.6293111619495553,489.0,6
418,G837AE,3.406323578488328,663.0,8
419,G840JL,1.3541513978505242,561.0,7
420,G840SL,2.5029579486568916,630.0,8
421,G847QL,-1.2715057879011167,241.0,3
422,HS12PS,-0.37756028721835033,356.0,4
423,HS12XB,-0.5467538993314813,333.0,4
424,HS29JP,2.5933964969060384,635.0,8
425,HS33BG,3.221216112007065,656.0,8
426,HS53UA,3.467512135262612,665.0,9
427,HS65AE,0.8479097910773449,514.0,6
428,HS75QA,0.16380918266649713,432.0,5
429,HS85SS,3.769922893879628,676.0,9
430,HS95XD,0.745369927346935,499.0,6
431,IV108SY,-2.025401634682113,156.0,2
432,IV118YF,-0.30361044967971074,370.0,5
433,IV125EE,-0.7223025982932854,310.0,4
434,IV149AG,-2.153692028404661,143.0,1
435,IV159QS,-1.6178622523643713,203.0,2
436,IV170UN,-2.0571938793076314,150.0,2
437,IV191EU,-1.1963825640372876,249.0,3
438,IV222EZ,8.080421272765442,733.0,9
439,IV222HU,1.8778104783564835,598.0,8
440,IV23BG,-0.9995696865241157,271.0,3
441,IV23NF,-1.0162862479501422,270.0,3
442,IV23PF,-7.432917136668277,3.0,0
443,IV243EP,4.449203837429876,691.0,9
444,IV24AG,0.8017269026331147,507.0,6
445,IV24TP,-2.2450864522108143,135.0,1
446,IV24XA,1.5159018123538546,571.0,7
447,IV253LS,4.603755116829903,693.0,9
448,IV262XL,-3.553683243886021,41.0,0
449,IV26YB,2.9746188992927047,646.0,8
450,IV274DD,7.0435264806054345,725.0,9
451,IV274JZ,1.0662214288227063,528.0,7
452,IV274RP,3.1805329655070427,653.0,8
453,IV274XB,3.817181917336809,677.0,9
454,IV27LL,-2.499193750756242,110.0,1
455,IV301AT,0.3207217880795457,451.0,6
456,IV306GQ,-2.30982776167095,126.0,1
457,IV316TU,-0.7095489453384677,311.0,4
458,IV327EP,5.039715793249227,702.0,9
459,IV35PW,-2.9111126062213835,83.0,1
460,IV361JG,0.4986181723206858,475.0,6
