postcode,loneliness_zscore
AB10 1NW,-1.981615642070327
AB10 1QB,7.773464825384178
AB10 1UT,2.902790012992209
AB10 1YE,1.1946171500245915
AB10 7QQ,-1.6103445406406325
AB11 7XH,2.016640440392503
AB11 8ER,1.2196185890140816
AB12 4QP,-1.8269867814079532
AB12 5NA,-1.3206326502645918
AB14 0RP,-0.7819636608913371
AB15 4ZT,0.2308186431274222
AB15 7YT,-0.09162071787647348
AB15 8TB,-2.2000239716536676
AB15 9EP,-5.520207049802147
AB15 9LQ,3.811609528226211
AB21 7NQ,2.893095144643045
AB21 9AN,-0.022308108536476468
AB21 9DG,-5.271231909981207
AB22 8LD,1.5663551648649465
AB22 8ZP,0.6329011018396221
AB24 2AS,0.4507290373954914
AB24 3NG,3.596790008226859
AB24 5AU,1.8676381226119183
AB24 5HT,17.42956569834173
AB24 5RS,-2.0310832549924545
AB25 1QB,2.6678886777829005
AB25 2AY,-0.4050263044945942
AB25 2XE,3.6634482266885953
AB25 3TX,0.01954184518932467
AB30 1GX,-1.3049433120602059
AB30 1XU,2.6694467394839663
AB31 4JQ,1.1044946355794294
AB31 5XS,-0.7713428464630177
AB32 6FG,0.5043382124772517
AB33 8FL,-2.0907754824830405
AB34 5HQ,-2.020882838349166
AB35 5NN,-0.5061064368446037
AB35 5WR,0.9582778473758502
AB36 8XB,0.4436869639414327
AB37 9AN,0.2911174912892947
AB38 9PR,0.49243116164077727
AB39 2EL,0.4309655931906883
AB41 7NX,3.525959471564745
AB41 9AH,1.9780103208577586
AB42 0QQ,2.2705392036039127
AB42 2XA,0.15554968745036954
AB42 5GP,3.706607480295353
AB43 6NE,2.9651568061445728
AB43 8QJ,8.799410828127604
AB43 9JW,-2.2237347801741074
AB43 9NH,-2.3254939126855465
AB45 1JD,0.4877784914201233
AB45 2GB,1.5800025464572796
AB51 0JZ,1.1348947696331506
AB51 3UL,-1.4150620955864242
AB51 5NB,-2.611315752010643
AB52 6JJ,1.1563358437949665
AB53 4DQ,-1.9861194538218963
AB54 8EX,-1.8262539640577855
AB55 4FJ,0.24554573361026782
AB55 5DJ,1.2488678088136713
AB56 1FP,0.4664134524962904
AB56 1JE,-1.0794604749933938
DD1 1PB,0.6671320941273233
DD1 1PF,-0.6781566031276641
DD1 4JH,0.9479913374079898
DD1 5LA,2.2938501136274976
DD10 0RU,0.666650174890305
DD10 8TY,0.351604448129802
DD11 1AD,0.7504900396511232
DD11 1EN,-2.673425304708683
DD11 1ES,-1.0356672202610484
DD11 4TX,5.660716809051573
DD2 2HZ,-1.5079138082551882
DD2 3BR,-1.1298854542635797
DD2 4AD,-0.5377857263117529
DD2 5AD,0.17068073822612462
DD2 5NH,-2.605472173689554
DD3 6NF,-1.3386492965308103
DD3 8DB,0.40949530447277155
DD3 8NE,-1.8267580195128459
DD4 0HJ,0.35845402615023547
DD4 0HU,-1.3729661724350608
DD4 6DG,-0.2583987134593312
DD4 6EL,-1.4528461724907624
DD4 6PP,-0.22930564903598183
DD4 6QY,-1.5163372815904033
DD4 6RB,-2.5634168633568044
DD4 6SW,-0.2240936242146187
DD4 7AA,-0.3680853283931329
DD5 1DU,2.5786086030839463
DD5 1EP,0.0348066388562524
DD5 4LX,-0.8218853648505542
DD6 8DJ,-0.7880806341701156
DD7 7RB,-0.9974030673033352
DD8 2AE,0.2592602607153415
DD8 2AS,-0.40915950463250494
DD8 2HA,0.8291710914492767
DD8 4ES,0.850697345824923
DD9 7AN,2.3260320187309595
DD9 7TA,-0.030993925440876313
DG1 1DL,-2.365102371222632
DG1 1TR,1.4813832963316638
DG1 2PX,-5.017149297731318
DG1 4EJ,-1.8931021128209018
DG10 9JP,-0.015798796946020988
DG11 1NH,-3.255122203613876
DG11 2BJ,0.9676055771467011
DG11 3BT,-2.0874374226791197
DG12 6GN,-3.3443151682858367
DG12 6GS,-2.263102409539054
DG13 0JY,1.3501524777291425
DG14 0UX,6.185048098914655
DG16 5NA,6.101307802799241
DG2 0UJ,-0.03252911935235023
DG2 8BY,-0.20107104774947585
DG2 9BH,-1.246901127162702
DG3 5AA,-1.7890650328567792
DG4 6BT,0.6509256256224516
DG5 4AZ,-2.2773541128687063
DG6 4BJ,-0.6876754348253411
DG7 3EE,1.3367851042759002
DG7 3RN,-0.4834002851286393
DG8 0PU,2.4488654446341056
DG8 6NR,2.494014084340005
DG8 8PS,1.7175000827982527
DG9 7DW,-0.11669990274291941
DG9 9DP,3.4314127909710024
DG9 9QQ,1.4312067752327615
EH1 1NA,12.2395805409338
EH10 4EY,1.2450444378805654
EH10 4RP,2.6261583811900215
EH10 5ER,2.9140385358826966
EH10 5HF,-3.8656451120844744
EH10 6QT,1.2680365953008288
EH11 2JL,2.709935413140017
EH11 3RA,0.2719686062733902
EH11 4AU,-1.3129201985271177
EH12 5QX,-0.02374487077941051
EH12 5SS,-0.001687668375443041
EH12 7TB,1.358286654738861
EH12 7UN,1.8633917222858862
EH12 8XP,0.7803743594357564
EH13 0LB,3.004904875316942
EH13 9AF,3.1194319204452423
EH14 1NQ,0.7590454086714967
EH14 3JF,-0.17600522389871462
EH14 4AS,-1.4585248630160719
EH14 5QB,0.6061761930081732
EH15 1NY,-0.31420490732769274
EH15 3LL,3.870939655290087
EH16 4DT,-1.5973717915288193
EH16 5HQ,1.7334727736437545
EH16 5QU,0.21654692007548382
EH16 5TY,0.3037326488320265
EH16 6JT,0.23659186037953273
EH16 6RN,-0.004027480306335485
EH17 7AB,0.6105288148140697
EH17 7PR,-0.09411970256131819
EH19 2ET,-0.44492575832446063
