postcode,loneliness_zscore,ranked,deciles
TD113EL,-2.0637212113060595,152.0,2
TD113XP,1.8607038544868857,595.0,8
TD11PF,5.44855235156831,701.0,9
TD124LQ,1.588758443325793,574.0,7
TD12SQ,4.762581606700023,688.0,9
TD12UA,-0.5071847581207907,340.0,4
TD145DD,3.927207848116204,670.0,9
TD46DW,5.000568957471358,694.0,9
TD57LF,1.0462962015848696,529.0,7
TD60PP,0.9522385593759013,517.0,7
TD74LJ,3.3035843616902962,651.0,8
TD86EN,4.604574506921161,684.0,9
TD90RU,1.3645977503664481,555.0,7
TD99DT,2.041569348597325,606.0,8
TD99HU,1.9345577742549311,602.0,8
ZE10RB,2.826531009402365,636.0,8
ZE10TN,-0.27571773498972685,376.0,5
ZE29AE,8.074627961307593,727.0,9
ZE29BX,7.576169635046568,723.0,9
ZE29DY,7.631941806845521,724.0,9
ZE29HX,3.8469387929180403,666.0,9
ZE29NA,6.422578937878337,714.0,9
ZE29QJ,6.891073176344873,718.0,9
ZE29RW,1.2365001906117334,541.0,7
