dz11_code,loneliness_zscore,rank,deciles
S01006697,2.1237721993217002,6470.0,10
S01006698,2.1206477353429536,6469.0,10
S01006699,2.214143700244904,6517.0,10
S01006700,2.426492914467928,6600.0,10
S01006701,1.9440365457893485,6370.0,10
S01006702,2.0448105932902854,6432.0,10
S01006703,2.0313750400595674,6421.0,10
S01006704,1.8552956945881873,6311.0,10
S01006705,,,
S01006706,2.129556014383888,6473.0,10
S01006707,2.5068858706465544,6624.0,10
S01006708,1.264586031714183,5929.0,9
S01006709,1.9233090328288338,6353.0,10
S01006710,1.1297359605161228,5856.0,9
S01006711,1.173254867823648,5879.0,9
S01006712,1.409169136687759,6014.0,9
S01006713,,,
S01006714,2.1666332608670684,6490.0,10
S01006715,2.0104939534866824,6412.0,10
S01006716,2.0726911382327264,6445.0,10
S01006717,2.0705953908921817,6444.0,10
S01006718,2.0957236681521474,6461.0,10
S01006719,1.7170942545562526,6200.0,10
S01006720,1.474039159302277,6051.0,9
S01006721,1.7559295451191403,6220.0,10
S01006722,1.918945588333648,6348.0,10
S01006723,1.9228028808275743,6352.0,10
S01006724,1.844168464541204,6301.0,10
S01006725,1.6565383665953992,6161.0,10
S01006726,1.9177459774183978,6346.0,10
S01006727,1.824281363485695,6281.0,10
S01006728,1.6544534291815054,6159.0,10
S01006729,1.9957917560062677,6407.0,10
S01006730,1.5237170391387376,6078.0,9
S01006731,1.4646999956317408,6044.0,9
S01006732,0.6926958320366929,5482.0,9
S01006733,0.526126926467496,5265.0,8
S01006734,0.274109841641478,4717.0,7
S01006735,0.4780169940404172,5183.0,8
S01006736,0.6128717038209717,5393.0,8
S01006737,0.8645502300657736,5645.0,9
S01006738,0.8881370138605461,5665.0,9
S01006739,1.4734282770578646,6050.0,9
S01006740,0.3737083897077144,4965.0,8
S01006741,0.29644485826301004,4760.0,7
S01006742,0.574104925831705,5337.0,8
S01006743,0.7473443310070282,5532.0,9
S01006744,0.5722888344145619,5335.0,8
S01006745,0.06583917380735145,4291.0,7
S01006746,-0.30626103989004344,3313.0,5
S01006747,0.18272010454395538,4530.0,7
S01006748,0.9945060550336247,5751.0,9
S01006749,1.6837799511388658,6174.0,10
S01006750,1.7170957348068339,6201.0,10
S01006751,1.2557024532458139,5924.0,9
S01006752,1.5315610188826385,6084.0,9
S01006753,1.1945319814169109,5894.0,9
S01006754,1.4274794387905667,6023.0,9
S01006755,0.8759411265497343,5654.0,9
S01006756,1.8978682859118479,6332.0,10
S01006757,1.401140920045171,6007.0,9
S01006758,1.6745112445973946,6171.0,10
S01006759,1.8402965200253039,6296.0,10
S01006760,1.7544985990044875,6219.0,10
S01006761,1.6635561479725365,6165.0,10
S01006762,1.6700114104748853,6168.0,10
S01006763,2.0680674420918246,6443.0,10
S01006764,1.960355051715426,6384.0,10
S01006765,1.9131185562626243,6341.0,10
S01006766,1.9681779771171872,6390.0,10
S01006767,1.938377413450184,6367.0,10
S01006768,2.0159534248268094,6416.0,10
S01006769,2.0769119792386213,6448.0,10
S01006770,2.131649623488918,6475.0,10
S01006771,2.1420962102054872,6483.0,10
S01006772,2.180204137345041,6500.0,10
S01006773,2.0620284996016878,6440.0,10
S01006774,2.0848320722715865,6456.0,10
S01006775,2.0790588900233278,6450.0,10
S01006776,2.185831134884964,6504.0,10
S01006777,2.1485551060147903,6484.0,10
S01006778,2.172719021082356,6494.0,10
S01006779,2.25000415363731,6534.0,10
S01006780,2.2624411508753046,6542.0,10
S01006781,2.2282443587845187,6524.0,10
S01006782,2.3550371994879673,6573.0,10
S01006783,2.3170012139285476,6561.0,10
S01006784,2.487743548041615,6615.0,10
S01006785,2.211887405679766,6515.0,10
S01006786,2.24090580928451,6529.0,10
S01006787,2.257288807398779,6537.0,10
S01006788,2.2563754316039173,6536.0,10
S01006789,-0.7672054419945613,2083.0,4
S01006790,-0.814485989836034,1961.0,3
S01006791,-0.31857044824353753,3284.0,5
S01006792,-0.3994859938173438,3030.0,5
S01006793,-0.018268734705028527,4103.0,7
S01006794,-1.314183840081463,916.0,2
S01006795,-1.4717702055359891,684.0,2
S01006796,-0.9708293443727835,1601.0,3
S01006797,-0.7811914043211732,2041.0,3
S01006798,-0.7045678506104215,2241.0,4
S01006799,-2.099368098855103,163.0,1
S01006800,-0.38862630184179214,3065.0,5
S01006801,-0.3288233163367716,3253.0,5
S01006802,-0.1553076343293873,3746.0,6
S01006803,-0.8966044091435695,1779.0,3
S01006804,-1.0792460759629827,1345.0,2
S01006805,-0.22394420351199826,3534.0,6
S01006806,-0.23510652247115882,3511.0,6
S01006807,-0.2596236288000239,3438.0,6
S01006808,-0.141559414538755,3794.0,6
S01006809,-0.14294086716988932,3785.0,6
S01006810,-0.06730308084535835,3982.0,6
S01006811,0.2383830049695963,4645.0,7
S01006812,0.07980311362742629,4314.0,7
S01006813,-0.08882251221109538,3929.0,6
S01006814,-0.04016394143212921,4043.0,6
S01006815,-0.11701539109816513,3867.0,6
S01006816,-0.047794844058446445,4024.0,6
S01006817,-0.013540284114952629,4115.0,7
S01006818,0.052565755811735095,4261.0,7
S01006819,0.2911559311571686,4752.0,7
S01006820,1.171123216587915,5876.0,9
S01006821,0.968483501438063,5735.0,9
S01006822,0.47882196772099345,5186.0,8
S01006823,0.405530782173233,5026.0,8
S01006824,0.38542083808605404,4993.0,8
S01006825,0.3968966234640402,5015.0,8
S01006826,0.4182689400444857,5059.0,8
S01006827,0.39334233091604176,5011.0,8
S01006828,0.4577256780434412,5137.0,8
S01006829,0.40081218807882707,5023.0,8
S01006830,0.4607635643486619,5145.0,8
S01006831,0.4920239094906908,5206.0,8
S01006832,0.4237988933052264,5073.0,8
S01006833,0.39341314115733506,5012.0,8
S01006834,0.5184614474901942,5247.0,8
S01006835,0.4669872754799422,5158.0,8
S01006836,0.4691389765392005,5162.0,8
S01006837,0.4627182948115777,5150.0,8
S01006838,0.41958380569957004,5063.0,8
S01006839,1.3839981445345042,5996.0,9
S01006840,1.390517142645286,5999.0,9
S01006841,1.3389771377284623,5971.0,9
S01006842,0.35062224714420576,4902.0,8
S01006843,0.6986360749023123,5487.0,9
S01006844,0.5531326064117321,5303.0,8
S01006845,0.9971659911744573,5754.0,9
S01006846,0.8241153383407325,5609.0,9
S01006847,0.7182078513593094,5508.0,9
S01006848,1.5507478758180093,6095.0,9
S01006849,1.004596902308114,5759.0,9
S01006850,0.31189643489222346,4797.0,8
S01006851,-0.12419189649549033,3846.0,6
S01006852,0.8671163542992192,5648.0,9
S01006853,0.690895630715212,5480.0,9
S01006854,0.23185898940598776,4633.0,7
S01006855,0.010534352367423658,4173.0,7
S01006856,-0.1085003030749503,3888.0,6
S01006857,-0.02715714271013714,4079.0,6
S01006858,-0.4647405904682875,2833.0,5
S01006859,-0.6631716401400498,2324.0,4
S01006860,-0.7279896297134836,2182.0,4
S01006861,-0.5187980150023398,2699.0,4
S01006862,-0.6299864489174991,2403.0,4
S01006863,-0.5625001837889957,2577.0,4
S01006864,-0.5962166695204247,2496.0,4
S01006865,-0.8939631360552569,1787.0,3
S01006866,-0.9224877391237171,1717.0,3
S01006867,-0.9268207126036712,1709.0,3
S01006868,-0.7985774785838148,2005.0,3
S01006869,-0.7358162571859651,2164.0,4
S01006870,-0.24702617659924408,3476.0,6
S01006871,-0.3510006226749678,3187.0,5
S01006872,-0.35883710143765224,3157.0,5
S01006873,-0.57035176005727,2556.0,4
S01006874,-0.49396359241387733,2770.0,5
S01006875,-0.7917231379096287,2019.0,3
S01006876,-0.7661466841059098,2085.0,4
S01006877,-0.8548925909920787,1878.0,3
S01006878,-0.5679633697915789,2561.0,4
S01006879,-0.7159878551204709,2218.0,4
S01006880,-0.3926202007156298,3052.0,5
S01006881,-0.6537316990235373,2346.0,4
S01006882,-2.1527888001070936,146.0,1
S01006883,-1.7054751935310637,406.0,1
S01006884,-2.073984078156729,170.0,1
S01006885,-1.325967967586913,895.0,2
S01006886,-0.48858734985766994,2782.0,5
S01006887,-1.0102797048139824,1499.0,3
S01006888,-0.6138690147921955,2442.0,4
S01006889,-1.2830562966880505,976.0,2
S01006890,-1.3970957530627397,789.0,2
S01006891,-1.2281549944126577,1067.0,2
S01006892,-0.968536042166856,1608.0,3
S01006893,-1.289779728275933,965.0,2
S01006894,-0.5340300539245793,2662.0,4
S01006895,-0.13628492910967116,3809.0,6
S01006896,-0.24128967856971606,3492.0,6
S01006897,-0.17854833308108187,3670.0,6
S01006898,-0.23872006946317686,3501.0,6
S01006899,-0.015815764433073646,4106.0,7
S01006900,-0.0075246916316384195,4129.0,7
S01006901,-0.047521485437404073,4027.0,6
S01006902,-1.1041326333429828,1299.0,2
S01006903,-0.21658519846400198,3558.0,6
S01006904,-0.34911055317840584,3193.0,5
S01006905,-0.774647487942412,2064.0,4
S01006906,-0.8821445306123695,1824.0,3
S01006907,-0.44994012724365956,2886.0,5
S01006908,-0.37020592781782835,3120.0,5
S01006909,-0.1277046433315387,3831.0,6
S01006910,-0.5308548152693212,2672.0,4
S01006911,-0.01950447329094407,4101.0,7
S01006912,0.04729584848802863,4255.0,7
S01006913,0.2047150003833162,4582.0,7
S01006914,-0.04619882014442653,4030.0,6
S01006915,0.12224591494504443,4396.0,7
S01006916,0.145722872276378,4437.0,7
S01006917,0.12575594424639985,4401.0,7
S01006918,0.14681304160037278,4440.0,7
S01006919,0.17468482306635918,4506.0,7
S01006920,0.19968674080503104,4572.0,7
S01006921,0.1155156431760882,4378.0,7
S01006922,-0.11125433980177865,3885.0,6
S01006923,-0.03340198037037795,4067.0,6
S01006924,0.5058339818016878,5231.0,8
S01006925,0.38280481114187886,4987.0,8
S01006926,0.3368156511764747,4861.0,8
S01006927,0.44439273945742386,5111.0,8
S01006928,0.19831874538613956,4569.0,7
S01006929,0.45620954050025586,5133.0,8
S01006930,0.4223965993110167,5070.0,8
S01006931,0.3394574491776693,4878.0,8
S01006932,0.4624295638450549,5148.0,8
S01006933,0.41295028850668974,5043.0,8
S01006934,0.41790541650192337,5058.0,8
S01006935,0.3898584077377052,4997.0,8
S01006936,0.3357099581021477,4852.0,8
S01006937,0.2697081231111382,4710.0,7
S01006938,0.4102279014222983,5034.0,8
S01006939,0.4283211462307873,5084.0,8
S01006940,0.3769714283571086,4974.0,8
S01006941,0.3492476175258847,4898.0,8
S01006942,0.44418467679262147,5109.0,8
S01006943,0.5211334794638665,5256.0,8
S01006944,0.519992369989348,5252.0,8
S01006945,0.4527701761246158,5123.0,8
S01006946,1.8417053845511435,6298.0,10
S01006947,1.1071840469457461,5834.0,9
S01006948,0.9457077479083866,5716.0,9
S01006949,0.946168058863499,5717.0,9
S01006950,2.1004516699294027,6462.0,10
S01006951,1.8277239038969795,6283.0,10
S01006952,1.9536075911366597,6376.0,10
S01006953,2.2518566031420213,6535.0,10
S01006954,2.275174273811568,6548.0,10
S01006955,2.2955579274801003,6554.0,10
S01006956,2.291380024021502,6553.0,10
S01006957,2.1817571364747996,6501.0,10
S01006958,1.305170902208001,5947.0,9
S01006959,1.1208351814692992,5849.0,9
S01006960,1.2655055828547659,5930.0,9
S01006961,1.3543039304437063,5980.0,9
S01006962,1.2947032814776385,5943.0,9
S01006963,1.3972253828413022,6000.0,9
S01006964,1.5416984928662427,6092.0,9
S01006965,1.4012257020800871,6008.0,9
S01006966,1.4879150540030646,6056.0,9
S01006967,1.5225751637637244,6077.0,9
S01006968,1.3734496291563438,5989.0,9
S01006969,1.4235636320021023,6020.0,9
S01006970,1.1525065675588448,5865.0,9
S01006971,1.1406405988579196,5858.0,9
S01006972,2.3051964265750824,6556.0,10
S01006973,2.28781621853839,6552.0,10
S01006974,2.318912501891508,6562.0,10
S01006975,1.8901663562861721,6329.0,10
S01006976,1.3084580755524289,5951.0,9
S01006977,1.77098390710678,6235.0,10
S01006978,1.037466382292365,5792.0,9
S01006979,1.1016185332385038,5829.0,9
S01006980,1.0671223154321419,5813.0,9
S01006981,1.8334653185325398,6287.0,10
S01006982,1.5728361559889759,6108.0,9
S01006983,1.423088251831449,6019.0,9
S01006984,1.1189898581544269,5848.0,9
S01006985,1.6520968247646408,6157.0,10
S01006986,1.579578041651245,6115.0,9
S01006987,1.3095482178236673,5954.0,9
S01006988,0.9792429181383021,5741.0,9
S01006989,0.43307656469639316,5088.0,8
S01006990,1.0136884217822653,5766.0,9
S01006991,0.3521385495708444,4906.0,8
S01006992,0.7572833121192315,5548.0,9
S01006993,0.8382646737836809,5627.0,9
S01006994,0.4960788125915086,5214.0,8
S01006995,0.2540273148112896,4681.0,7
S01006996,0.19086176516959324,4550.0,7
S01006997,-0.09392258135529034,3918.0,6
S01006998,-0.16449714780250083,3725.0,6
S01006999,0.03808182619132702,4234.0,7
S01007000,-0.1698909911330865,3709.0,6
S01007001,0.3121454679786821,4798.0,8
S01007002,-0.3265456262909308,3261.0,5
S01007003,-0.2751615468461805,3388.0,5
S01007004,-0.49954053391394193,2754.0,5
S01007005,-0.8752544526295543,1835.0,3
S01007006,-0.42476939320601226,2962.0,5
S01007007,-0.15501152236209326,3748.0,6
S01007008,-0.8736839078816598,1838.0,3
S01007009,-0.7370896237188381,2159.0,4
S01007010,-1.070537286854385,1366.0,3
S01007011,-1.1779634938821166,1168.0,2
S01007012,-1.078276936147155,1348.0,2
S01007013,0.056316089727492115,4269.0,7
S01007014,0.01815770135291659,4185.0,7
S01007015,0.07327673989523319,4301.0,7
S01007016,0.2699994329760252,4713.0,7
S01007017,-1.2462323050371071,1034.0,2
S01007018,-0.8147759844916526,1960.0,3
S01007019,-1.382140983297886,809.0,2
S01007020,-1.3999389923761565,783.0,2
S01007021,-1.4701310502601688,687.0,2
S01007022,-1.509148103179511,639.0,1
S01007023,0.5408838176270014,5287.0,8
S01007024,0.2493595526364518,4671.0,7
S01007025,0.5637455303055202,5322.0,8
S01007026,0.5932802629466527,5365.0,8
S01007027,0.7137680787532383,5501.0,9
S01007028,0.6115655529921049,5392.0,8
S01007029,0.3594219082269791,4921.0,8
S01007030,0.14293099882058152,4432.0,7
S01007031,0.14149537500839499,4427.0,7
S01007032,0.5053300699403314,5230.0,8
S01007033,0.5130538759956441,5239.0,8
S01007034,0.4567754111226316,5136.0,8
S01007035,0.5161152289023031,5242.0,8
S01007036,0.5852249686376415,5349.0,8
S01007037,0.7567688529385563,5547.0,9
S01007038,0.7293208525546454,5516.0,9
S01007039,0.768471327927658,5561.0,9
S01007040,0.7753520381991756,5567.0,9
S01007041,0.6961293437013967,5486.0,9
S01007042,0.8182979474078943,5602.0,9
S01007043,0.740729028463543,5526.0,9
S01007044,1.195503105391754,5896.0,9
S01007045,1.109337545269922,5839.0,9
S01007046,1.3977493416614053,6002.0,9
S01007047,1.8542985133689402,6307.0,10
S01007048,0.9768822425769704,5740.0,9
S01007049,2.952237759234691,6713.0,10
S01007050,1.458461178623151,6040.0,9
S01007051,1.6948789928869719,6186.0,10
S01007052,2.1986857661932024,6511.0,10
S01007053,1.7421406151706627,6212.0,10
S01007054,1.9744290626059757,6396.0,10
S01007055,2.042307026358994,6429.0,10
S01007056,1.4649104856292177,6045.0,9
S01007057,2.334389688519171,6568.0,10
S01007058,2.47555418355999,6610.0,10
S01007059,2.6218781506184854,6657.0,10
S01007060,2.5938929024373274,6653.0,10
S01007061,1.4367786490209784,6030.0,9
S01007062,1.2413370121827692,5914.0,9
S01007063,1.8983916163892571,6334.0,10
S01007064,1.8869150249252196,6328.0,10
S01007065,2.0559502300254264,6437.0,10
S01007066,1.8335865392671356,6288.0,10
S01007067,2.262225753445096,6541.0,10
S01007068,2.2602218838318042,6539.0,10
S01007069,2.0872239633898166,6458.0,10
S01007070,1.9688722111235588,6393.0,10
S01007071,1.581810767054547,6116.0,9
S01007072,1.163956458615743,5872.0,9
S01007073,1.0113095858157364,5763.0,9
S01007074,0.4783176918604945,5185.0,8
S01007075,0.5713399237170723,5334.0,8
S01007076,0.7545822782901879,5545.0,9
S01007077,0.7398014976469414,5523.0,9
S01007078,0.2945924507556666,4758.0,7
S01007079,0.1253701804507872,4400.0,7
S01007080,0.24472788136462154,4658.0,7
S01007081,0.9314404271220681,5705.0,9
S01007082,1.0553409958386852,5805.0,9
S01007083,0.6112299723970416,5391.0,8
S01007084,0.5146271830812238,5240.0,8
S01007085,0.6806529503636389,5467.0,9
S01007086,0.9220226624743791,5698.0,9
S01007087,1.0217103077410736,5779.0,9
S01007088,0.9031925886270605,5677.0,9
S01007089,1.2946221820874364,5942.0,9
S01007090,0.8895524485819168,5666.0,9
S01007091,0.9378594364613665,5710.0,9
S01007092,0.9419281311871942,5712.0,9
S01007093,0.6819606998879524,5470.0,9
S01007094,0.9659548130478552,5734.0,9
S01007095,2.531079907005204,6630.0,10
S01007096,1.7896084290815732,6251.0,10
S01007097,1.5095133794372706,6071.0,9
S01007098,1.7844751377243266,6247.0,10
S01007099,2.385324980385704,6584.0,10
S01007100,2.2828717956292746,6550.0,10
S01007101,8.053808739378999,6804.0,10
S01007102,3.745408073331272,6780.0,10
S01007103,1.7911218074960944,6252.0,10
S01007104,2.232105223114675,6526.0,10
S01007105,1.70145461217476,6190.0,10
S01007106,2.130971637587925,6474.0,10
S01007107,1.9032696270872353,6336.0,10
S01007108,1.2471462741349086,5917.0,9
S01007109,0.7968568027218241,5584.0,9
S01007110,1.1791281016656785,5881.0,9
S01007111,1.1716683238803816,5877.0,9
S01007112,0.5557977266595766,5306.0,8
S01007113,0.26835499525822326,4705.0,7
S01007114,0.41198524920061047,5041.0,8
S01007115,0.4601979806378658,5143.0,8
S01007116,0.6468197543574521,5432.0,8
S01007117,0.6045433837990488,5382.0,8
S01007118,0.31105791327882326,4795.0,8
S01007119,0.3366076797092178,4860.0,8
S01007120,0.16766220251361527,4489.0,7
S01007121,0.1936458928298522,4555.0,7
S01007122,-0.053346753947701074,4017.0,6
S01007123,0.16642610326159998,4484.0,7
S01007124,0.23298290207237893,4635.0,7
S01007125,-0.0655822961546501,3987.0,6
S01007126,-0.25598702979235854,3452.0,6
S01007127,0.33036003216997084,4836.0,8
S01007128,-0.008426329763739526,4125.0,7
S01007129,-0.6152572737162353,2432.0,4
S01007130,-1.6792169871794378,435.0,1
S01007131,-1.0863390723757962,1326.0,2
S01007132,-0.9198625747465072,1724.0,3
S01007133,-0.5455205601316603,2625.0,4
S01007134,-0.30564681728861204,3314.0,5
S01007135,-0.5316907148574459,2667.0,4
S01007136,-0.4703561765271359,2820.0,5
S01007137,0.044482619269383565,4244.0,7
S01007138,-0.10072141826160086,3908.0,6
S01007139,-0.2804765650269265,3381.0,5
S01007140,-0.29808385063535475,3335.0,5
S01007141,-0.37578975082455107,3105.0,5
S01007142,-0.7198943538300837,2207.0,4
S01007143,-0.37932736732012234,3089.0,5
S01007144,-0.38420220192252785,3077.0,5
S01007145,-0.369760991343589,3121.0,5
S01007146,-0.47527574101090847,2809.0,5
S01007147,-0.558302082878209,2585.0,4
S01007148,-0.559737191392248,2582.0,4
S01007149,-0.7604966187771365,2097.0,4
S01007150,-0.6599356582248743,2332.0,4
S01007151,-0.9455321582618632,1661.0,3
S01007152,-0.5640833764807964,2573.0,4
S01007153,-0.6180108747791175,2428.0,4
S01007154,-0.519185323675372,2697.0,4
S01007155,-0.5309580460984022,2670.0,4
S01007156,-0.5147807336642001,2713.0,4
S01007157,-0.537840679606685,2649.0,4
S01007158,-0.5397082967771831,2639.0,4
S01007159,-0.4814557362972075,2799.0,5
S01007160,-0.5530517539665855,2600.0,4
S01007161,-0.4104703620645897,2998.0,5
S01007162,-0.37276915856546783,3110.0,5
S01007163,-0.4187268099553095,2978.0,5
S01007164,-0.3824302054418573,3082.0,5
S01007165,-0.35129461836367293,3183.0,5
S01007166,-0.3281725031447324,3255.0,5
S01007167,-0.31827723144681563,3285.0,5
S01007168,-0.3285858656956376,3254.0,5
S01007169,-0.3546006780653086,3170.0,5
S01007170,-0.07180587463993804,3970.0,6
S01007171,-0.20929683021097373,3581.0,6
S01007172,-0.11970891408290635,3859.0,6
S01007173,-0.3301352671151304,3249.0,5
S01007174,-0.36794914642374577,3128.0,5
