postcode,loneliness_zscore
BT100BX,0.800423396219937
BT119EA,-1.4108114471586655
BT119FZ,-2.7357693048416025
BT124HL,-7.883439600441365
BT124LP,0.207508892154754
BT125EY,1.1232947894859913
BT125JJ,2.366763456029467
BT125LT,-2.3202018473994936
BT126AA,-4.628704832950435
BT126AG,-0.29610206785339055
BT126AP,-0.4163254037736992
BT126DD,-5.671687914413138
BT127AH,-1.2091814415197581
BT127AP,-0.9469068593647919
BT127DP,-2.3273438851228776
BT12JR,-1.628265139420239
BT131AD,-3.1034476619493017
BT131FD,0.5259770729317903
BT131RU,2.6602835995328595
BT132BD,1.4792063251791312
BT133BW,-2.1331865005210973
BT146AR,2.809502212890417
BT146JN,2.287712671189386
BT146QG,0.7876250685206063
BT147DA,-2.1428893262919866
BT147GB,-2.808456217913078
BT147QR,1.9546875172832805
BT148BY,-1.5543383568450517
BT151HS,-1.430897048139011
BT152GE,-4.282484485459069
BT152GH,-1.1095547362571019
BT153BS,-3.752049690116191
BT153HF,-0.5188104572984353
BT155GF,-0.29785917597335804
BT162LN,2.951032529877577
BT170FB,-1.9358514928461272
BT179AL,-2.2442784742800663
BT189AD,2.5761391926220063
BT189DA,4.657503445176746
BT196EU,4.309131145158366
BT203EB,1.0767374172462914
BT204LD,1.61827992740626
BT204XA,2.536843921573869
BT205PE,-0.5576246421284382
BT210BU,2.445070616070727
BT221QT,1.7861147762462444
BT222PY,1.618615482803924
BT222SP,-0.35632249348632306
BT234AS,0.9637470086003803
BT234FH,0.9511720646361563
BT234LR,2.334184331719677
BT235BA,0.5889312349642544
BT235DT,-2.596455986120855
BT236AW,5.235861012758669
BT237PZ,0.651669641593682
BT247AD,-1.6736643728278189
BT248AY,-0.7444438213687397
BT251NB,0.43957881960549605
BT252AT,2.1683148932028473
BT266AW,-3.3661833191084147
BT281LU,0.1628919996085476
BT294LA,-1.4957530300367174
BT294LN,0.9178164721316966
BT306BE,-1.5311924263677115
BT306DE,-0.5061795105662225
BT306RL,1.2598135989920118
BT307SF,3.507640942183511
BT308RD,-1.1252142941265664
BT309JU,-0.8148186044591827
BT309RG,-2.0722906129587564
BT319TU,6.72849960216077
BT323GN,0.08573518288078184
BT323NH,-0.6253981415423966
BT323NQ,-1.4686773611022752
BT330DN,3.227240501017557
BT343NE,-3.673201583919652
BT344BH,1.5905439567106876
BT344DN,-2.0305880750838448
BT344TH,-0.8011102100439491
BT345QH,0.9910963683523151
BT350BE,-2.346172353691495
BT350PB,0.7183181630232109
BT356BW,1.1605981110082477
BT357AW,-2.683500439213377
BT358JT,2.551837799400861
BT359HD,-2.7835123385080207
BT359JJ,-1.0292579104707538
BT359RA,-0.2946054793061621
BT364PP,-0.16066873176303775
BT365EQ,-2.5864492309287552
BT367XX,2.2732422832486954
BT379QN,-0.29240338607748173
BT379QW,-1.4200034421175887
BT379UH,-0.9037202552456595
BT387HT,-4.050037414548032
BT388TP,0.24841842724286267
BT389TG,-0.7835013389499355
BT390AZ,-3.4368066760992537
BT399HL,-2.438012664461625
BT401PB,-3.2390071543966457
BT401XH,-1.737349877489875
BT413AE,2.092819578037409
BT413TF,-4.150199202546863
BT414BS,2.7819035166602686
BT414HR,-0.2335292655205813
BT41NT,-0.6625178020290166
BT421AA,3.337960473155465
BT421GP,-4.165316236634835
BT421NW,-2.063490897126409
BT422PB,-2.312858929989033
BT423JU,0.9496952243530576
BT424JA,-2.1303323272542345
BT435BA,4.200690071097798
BT435BY,-0.06262623987770033
BT435HB,3.972866377632708
BT436HB,-0.7405064961429135
BT436JD,5.076066594557083
BT43HZ,2.2112322392467316
BT43LH,1.7264880125139936
BT440TE,-0.5395747143319808
BT448AD,0.05611124478282925
BT448QB,-3.408861193435349
BT449LF,-4.369658442533186
BT455DD,0.3756398935872325
BT456BL,1.6627420032715785
BT456ED,-1.0920367637913182
BT457AG,-3.690498094552729
BT457LJ,0.8445562205361901
BT458AZ,-0.6148105723493689
BT465EA,-1.462259314330062
BT473AB,0.7146205344523828
BT474AB,1.7755822182876209
BT474RS,-4.374400969181878
BT474TD,-1.0859987872477435
BT476AH,-0.05365793438167393
BT480LZ,0.47428669941258134
BT486LD,-0.6260690991813979
BT487DH,-1.645030218350277
BT487ER,1.6427598938046832
BT487GW,0.8886420535122981
BT487NN,-2.832739851324722
BT487NY,0.4173147379436153
BT488NL,-1.6534006842964153
BT489DN,-1.0987062456371033
BT490NA,0.5751730601618024
BT490TE,1.5795575772504433
BT513HP,-1.4170906947666984
BT514TW,-0.9068477881607508
BT515AE,-1.545662095122461
BT515QP,-5.706911398843885
BT521JB,-0.42427648366222637
BT521JX,2.325543557697337
BT536HB,-3.744774970305211
BT536HH,-2.9079423047123436
BT538TY,-4.121831286294139
BT546BA,-4.410876307066232
BT54ES,-0.6883815744340643
BT54FT,5.766883995805864
BT54NH,4.06525948068963
BT54PX,1.946393325716921
BT557EF,-0.4993134533518191
BT557SW,-0.3259610592846769
BT55DY,2.6057396797434853
BT55FP,0.7925620660550681
BT568DW,-2.4557667023097367
BT578QP,-0.03901230939535938
BT57LH,0.5897476339260448
BT601TA,-2.761301157028114
BT603RL,-1.9897264010250089
BT603TU,2.499454665064583
BT604QT,-0.2783992928467927
BT617QG,2.6743448467789532
BT619PD,-2.619910074008647
BT622AN,-0.9701076383363643
BT623BU,1.5555062293981792
BT636JS,-0.612466416106771
BT655BE,-1.118217038917676
BT666BW,2.2168086426855673
BT666JB,-1.6781984039823892
BT667LR,1.602293338749197
BT668BA,0.08381198264601708
BT668DW,0.9672534322725374
