iz11_code,loneliness_zscore,rank,deciles
S02001884,-2.3317555819305302,74.0,0
S02001885,-2.010026455505619,130.0,1
S02001886,-2.112217293235948,107.0,0
S02001887,-2.1944134224389726,89.0,0
S02001888,-2.69049482281683,43.0,0
S02001889,-2.3343012066335698,72.0,0
S02001890,-1.8570681867652254,172.0,1
S02001891,-2.392726854912543,63.0,0
S02001892,-3.0968420325679364,23.0,0
S02001893,-2.0786766730269473,115.0,0
S02001894,-1.228276596585278,347.0,2
S02001895,-1.8509165966554362,174.0,1
S02001896,-2.0167470231189624,128.0,0
S02001897,-1.8072594866125355,184.0,1
S02001898,-1.8402487369697373,178.0,1
S02001899,-1.8985861777187267,154.0,1
S02001900,-1.7608038326522564,193.0,1
S02001901,-1.509397782344697,248.0,1
S02001902,-1.9326850273129483,142.0,1
S02001903,-1.8146535015517813,181.0,1
S02001904,-1.5092548087943678,249.0,1
S02001905,-2.04210631384773,125.0,0
S02001906,-2.4121615810020502,61.0,0
S02001907,-2.436037647071229,57.0,0
S02001908,-2.259990975703967,84.0,0
S02001909,-2.179779333151769,96.0,0
S02001910,-2.154762288671306,99.0,0
S02001911,-2.3594883617278968,67.0,0
S02001912,-2.1034015799531853,112.0,0
S02001913,-2.8412058408133642,36.0,0
S02001914,-2.3076800107965623,77.0,0
S02001915,-2.4448775178852507,55.0,0
S02001916,-2.655872039563064,45.0,0
S02001917,-2.906164566756349,31.0,0
S02001918,-2.571494432739349,48.0,0
S02001919,-3.1277564375535793,19.0,0
S02001920,-2.8407827253752758,37.0,0
S02001921,-2.5449906103543887,49.0,0
S02001922,-2.2953755700155956,80.0,0
S02001923,-1.8780149148456027,162.0,1
S02001924,-2.3125228743299338,75.0,0
S02001925,-2.4316188084731984,58.0,0
S02001926,-2.1213809275469746,104.0,0
S02001927,-1.2855989528274285,332.0,2
S02001928,-1.493547867156073,255.0,1
S02001929,-1.4448566245211822,276.0,2
S02001930,-1.3283909030159848,318.0,2
S02001931,-2.336880035008208,70.0,0
S02001932,-3.0892473134939737,24.0,0
S02001933,-1.8253118896510003,180.0,1
S02001934,-1.8608337674565094,170.0,1
S02001935,-1.1829027987710097,361.0,2
S02001936,-0.9239435021205378,474.0,3
S02001937,-0.8825514784139795,496.0,3
S02001938,-1.6857707660858228,211.0,1
S02001939,-1.419847222421963,292.0,2
S02001940,-1.9030036759442883,150.0,1
S02001941,-1.07377141126657,423.0,3
S02001942,-2.302689795703116,78.0,0
S02001943,-2.1362124777784555,103.0,0
S02001944,-2.493370738943269,50.0,0
S02001945,-1.4278429252275342,284.0,2
S02001946,-1.283621066114074,333.0,2
S02001947,-1.5866603132202144,230.0,1
S02001948,-1.919564411995795,146.0,1
S02001949,-1.6273342282734033,224.0,1
S02001950,-0.66715531920745,597.0,4
S02001951,-0.6942116753114205,579.0,4
S02001952,-0.8293877106455798,521.0,4
S02001953,-0.7652505476224349,549.0,4
S02001954,-0.43444153632090465,710.0,5
S02001955,-0.5694062076941717,642.0,5
S02001956,-0.17831579003424639,788.0,6
S02001957,-0.40778137654174196,723.0,5
S02001958,-0.2738563245401968,763.0,5
S02001959,-0.39884164368361097,726.0,5
S02001960,0.17182372573971927,876.0,6
S02001961,0.4646452621910144,958.0,7
S02001962,-0.12417823789199604,805.0,6
S02001963,-0.2645247715485105,764.0,5
S02001964,-1.2896879130760996,330.0,2
S02001965,-0.6916361477880865,583.0,4
S02001966,-0.6766505518035867,589.0,4
S02001967,-0.8591740198273022,507.0,3
S02001968,-1.109809677538008,409.0,3
