lsoa21_code,loneliness_zscore,rank,deciles
W01000138,-1.4465374308695143,258.0,1.0
W01000139,-1.6221054852310897,222.0,1.0
W01000140,-2.7627471431094737,119.0,0.0
W01000141,-0.47710369758935495,512.0,2.0
W01000142,-0.7371275492476701,440.0,2.0
W01000143,-2.708518714871552,122.0,0.0
W01000144,-2.3115199825574866,153.0,0.0
W01000145,-1.5958954411672677,234.0,1.0
W01000146,0.4730117153965802,925.0,4.0
W01000147,0.6308226969351836,1022.0,5.0
W01000148,-4.931360463583857,25.0,0.0
W01000149,-0.6423252384734791,465.0,2.0
W01000150,-1.4667822328890123,255.0,1.0
W01000151,-0.8887468079115829,402.0,2.0
W01000152,-0.12219610761164774,633.0,3.0
W01000153,-1.0223497030220865,360.0,1.0
W01000154,-0.783663895562235,424.0,2.0
W01000155,-1.1224234201564351,333.0,1.0
W01000156,-1.0729764814058846,342.0,1.0
W01000157,-0.9506160130862655,380.0,1.0
W01000158,-0.7337445775057584,441.0,2.0
W01000159,-1.8060373986752405,200.0,1.0
W01000162,-0.6209474232163121,471.0,2.0
W01000163,-1.2219700600697705,310.0,1.0
W01000164,-1.522328934537753,249.0,1.0
W01000165,0.8722477952879638,1167.0,6.0
W01000166,1.0498132131592577,1298.0,6.0
W01000167,-0.9043849091767848,396.0,2.0
W01000168,0.911241561032929,1192.0,6.0
W01000169,0.2776540914699954,807.0,4.0
W01000170,0.16744641389669396,738.0,3.0
W01000171,0.29968804256022474,819.0,4.0
W01000172,0.1897125311046221,749.0,3.0
W01000173,0.18278947008918314,747.0,3.0
W01000174,0.14547203289638047,731.0,3.0
W01000175,0.09200904526435302,713.0,3.0
W01000176,1.1211730228257422,1352.0,7.0
W01000177,0.48442452219438864,933.0,4.0
W01000178,-0.8195284548245729,415.0,2.0
W01000179,0.005833035704648711,675.0,3.0
W01000180,-1.549340099733259,242.0,1.0
W01000181,-1.9744031562294642,183.0,0.0
W01000182,-3.2006109701290084,95.0,0.0
W01000183,-2.160485991656841,166.0,0.0
W01000184,-1.7765062700858851,205.0,1.0
W01000185,-2.3195184225981675,152.0,0.0
W01000186,0.3102421976295045,829.0,4.0
W01000187,0.9019453354843371,1184.0,6.0
W01000188,0.7300411435283932,1075.0,5.0
W01000189,-0.853529310853717,408.0,2.0
W01000190,-1.3545215186584705,279.0,1.0
W01000191,-4.1263311420678805,50.0,0.0
