"lsoa21_code","perc"
"E01000001",23.2768711275874
"E01000002",23.2768711275874
"E01000003",30.4956315190811
"E01000005",34.3728284558549
"E01000006",28.936858128413
"E01000007",31.0945090153593
"E01000008",31.0945090153593
"E01000009",29.6189833598014
"E01000011",28.6706386933844
"E01000012",30.3435155159357
"E01000013",31.1624704968154
"E01000014",31.5374524182577
"E01000015",30.9303235711578
"E01000016",30.2537126183537
"E01000017",31.1624704968154
"E01000018",31.1624704968154
"E01000019",29.9165545950999
"E01000020",31.1624704968154
"E01000021",29.9335908497854
"E01000022",31.1624704968154
"E01000024",29.9165545950999
"E01000025",31.1624704968154
"E01000027",30.2537126183537
"E01000028",30.6981766455002
"E01000029",27.3889914219996
"E01000030",31.7189785683186
"E01000031",24.696181236139
"E01000032",27.430959505791
"E01000033",32.4181624376659
"E01000034",29.9363954610819
"E01000035",31.3803018768885
"E01000036",29.141755102854
"E01000037",26.7265535788449
"E01000038",29.6125810002231
"E01000039",30.5213388786848
"E01000040",30.4319572104716
"E01000041",31.1624704968154
"E01000042",29.4692969984702
"E01000043",28.6706386933844
"E01000044",28.6706386933844
"E01000045",31.1624704968154
"E01000046",31.1624704968154
"E01000049",32.3581719858953
"E01000050",28.936858128413
"E01000051",34.3728284558549
"E01000052",28.6706386933844
"E01000053",30.9303235711578
"E01000054",31.1624704968154
"E01000055",31.1624704968154
"E01000056",31.1624704968154
"E01000057",31.1624704968154
"E01000058",29.8153269008412
"E01000059",31.1624704968154
"E01000060",31.9124343397
"E01000061",33.4123620254691
"E01000062",31.5374524182577
"E01000063",31.1624704968154
"E01000064",31.1624704968154
"E01000065",31.4311607645588
"E01000066",28.6706386933844
"E01000067",27.3825714508356
"E01000068",28.6706386933844
"E01000069",23.0796089209699
"E01000070",24.1978148754528
"E01000071",26.4342267844186
"E01000072",31.6210930623925
"E01000073",31.1624704968154
"E01000074",31.1624704968154
"E01000075",31.1624704968154
"E01000076",31.1624704968154
"E01000077",31.1624704968154
"E01000078",30.6641041361292
"E01000079",30.9303235711578
"E01000080",31.1624704968154
"E01000081",31.1624704968154
"E01000082",31.1624704968154
"E01000083",31.1624704968154
"E01000084",31.1624704968154
"E01000085",31.4848988181074
"E01000086",30.0265231487383
"E01000087",31.1624704968154
"E01000088",29.0475318209601
"E01000089",31.1624704968154
"E01000090",29.141755102854
"E01000091",30.6981766455002
"E01000093",30.4660297198426
"E01000094",31.1181395280607
"E01000095",30.5395125459577
"E01000096",32.0939604897609
"E01000097",31.1624704968154
"E01000098",30.165737775443
"E01000099",31.1624704968154
"E01000100",31.1624704968154
"E01000101",31.1624704968154
"E01000102",31.1624704968154
"E01000103",31.8045420886233
"E01000104",31.5255227969373
"E01000105",32.4617444965071
"E01000106",31.4450484400767
"E01000107",31.1624704968154
"E01000108",30.9303235711578
"E01000110",23.0796089209699
"E01000111",29.6218711294598
"E01000112",28.8153848953025
"E01000113",24.4640343104814
"E01000114",29.6218711294598
"E01000115",19.6319992058562
"E01000116",24.696181236139
"E01000117",23.9213398211477
"E01000118",23.0796089209699
"E01000119",23.0796089209699
"E01000120",23.0796089209699
"E01000121",28.851571445782
"E01000122",23.0796089209699
"E01000123",23.0796089209699
"E01000124",28.4052399861788
"E01000126",30.1951916399088
